source_table,source_column,role_id,grant_level_id,is_primary,treat_zero_as_null,notes
mdcd_demo,proj_ofcr_user_id,Project Officer,Demonstration,true,false,primary project officer
mdcd_demo,bkup_proj_ofcr_user_id,Project Officer,Demonstration,false,true,backup PO; source NOT NULL DEFAULT 0 so 0 means none
mdcd_demo,ro_fincl_lead_user_id,Project Officer,Demonstration,false,false,Financial Lead folds to Project Officer
mdcd_demo,tchncl_drctr_user_id,Policy Technical Director,Demonstration,false,false,generic TD -> Policy TD (Rule A; M&E TD has its own column)
mdcd_demo,mntrg_eval_tchncl_drctr_user_id,Monitoring & Evaluation Technical Director,Demonstration,false,false,dedicated M&E Technical Director
mdcd_demo,ro_mntrg_lead_user_id,Monitoring & Evaluation Technical Director,Demonstration,false,false,Monitoring Lead folds to M&E TD
mdcd_demo,anlyst_user_id,DDME Analyst,Demonstration,false,false,primary analyst
mdcd_demo,anlyst_scndry_user_id,DDME Analyst,Demonstration,false,false,secondary analyst
mdcd_demo,mc_anlyst_id,DDME Analyst,Demonstration,false,false,Managed Care analyst folds to DDME Analyst
mdcd_demo,hcbs_anlyst_id,DDME Analyst,Demonstration,false,false,HCBS analyst folds to DDME Analyst
mdcd_demo,state_prmry_poc_user_id,State Point of Contact,Demonstration,false,false,primary state point of contact
mdcd_demo,state_scndry_poc_user_id,State Point of Contact,Demonstration,false,false,secondary state point of contact
mdcd_demo,state_3rd_poc_user_id,State Point of Contact,Demonstration,false,false,third state point of contact
mdcd_demo,state_4th_poc_user_id,State Point of Contact,Demonstration,false,false,fourth state point of contact
mdcd_demo,state_5th_poc_user_id,State Point of Contact,Demonstration,false,false,fifth state point of contact
