legacy_cd,legacy_name,demos_text_id,notes
CT,Connecticut,CT,
MA,Massachusetts,MA,
ME,Maine,ME,
NH,New Hampshire,NH,
RI,Rhode Island,RI,
VT,Vermont,VT,
NJ,New Jersey,NJ,
NY,New York,NY,
PR,Puerto Rico,PR,
VI,US Virgin Islands,VI,
DE,Delaware,DE,
DC,District of Columbia,DC,
MD,Maryland,MD,
PA,Pennsylvania,PA,
VA,Virginia,VA,
WV,West Virginia,WV,
AL,Alabama,AL,
FL,Florida,FL,
GA,Georgia,GA,
KY,Kentucky,KY,
MS,Mississippi,MS,
NC,North Carolina,NC,
SC,South Carolina,SC,
TN,Tennessee,TN,
IL,Illinois,IL,
IN,Indiana,IN,
MI,Michigan,MI,
MN,Minnesota,MN,
OH,Ohio,OH,
WI,Wisconsin,WI,
AR,Arkansas,AR,
LA,Louisiana,LA,
NM,New Mexico,NM,
OK,Oklahoma,OK,
TX,Texas,TX,
IA,Iowa,IA,
KS,Kansas,KS,
MO,Missouri,MO,
NE,Nebraska,NE,
CO,Colorado,CO,
MT,Montana,MT,
ND,North Dakota,ND,
SD,South Dakota,SD,
UT,Utah,UT,
WY,Wyoming,WY,
AZ,Arizona,AZ,
CA,California,CA,
HI,Hawaii,HI,
NV,Nevada,NV,
AS,American Samoa,AS,
GU,Guam,GU,
MP,Northern Mariana Islands,MP,
AK,Alaska,AK,
ID,Idaho,ID,
OR,Oregon,OR,
WA,Washington,WA,
