target_table,target_column,target_type,nullable,has_default,is_history,table_in_scope,source_tables,classification
amendment,id,uuid,no,no,no,yes,mdcd_demo_amndmt,mapped
amendment,application_type_id,text,no,no,no,yes,mdcd_demo_amndmt,mapped
amendment,demonstration_id,uuid,no,no,no,yes,mdcd_demo_amndmt,mapped
amendment,name,text,no,no,no,yes,mdcd_demo_amndmt,mapped
amendment,description,text,yes,no,no,yes,mdcd_demo_amndmt,mapped
amendment,effective_date,timestamptz,yes,no,no,yes,mdcd_demo_amndmt,mapped
amendment,status_id,text,no,no,no,yes,mdcd_demo_amndmt,mapped
amendment,current_phase_id,text,no,no,no,yes,mdcd_demo_amndmt,mapped
amendment,clearance_level_id,text,no,yes,no,yes,mdcd_demo_amndmt,default
amendment,signature_level_id,text,yes,no,no,yes,mdcd_demo_amndmt,mapped
amendment,created_at,timestamptz,no,yes,no,yes,mdcd_demo_amndmt,mapped
amendment,updated_at,timestamptz,no,no,no,yes,mdcd_demo_amndmt,mapped
amendment,status_updated_at,timestamptz,no,yes,no,yes,mdcd_demo_amndmt,mapped
amendment,demonstration_status_id,text,no,no,no,yes,mdcd_demo_amndmt,mapped
amendment_application_type_limit,id,text,no,no,no,no,,GAP_table_pending
amendment_history,revision_id,serial,no,no,yes,no,,history_system
amendment_history,revision_type,revision_type_enum,no,no,yes,no,,history_system
amendment_history,modified_at,timestamptz,no,yes,yes,no,,history_system
amendment_history,id,uuid,no,no,yes,no,,GAP_table_pending
amendment_history,application_type_id,text,no,no,yes,no,,GAP_table_pending
amendment_history,demonstration_id,uuid,no,no,yes,no,,GAP_table_pending
amendment_history,name,text,no,no,yes,no,,GAP_table_pending
amendment_history,description,text,yes,no,yes,no,,nullable_unmapped
amendment_history,effective_date,timestamptz,yes,no,yes,no,,nullable_unmapped
amendment_history,status_id,text,no,no,yes,no,,GAP_table_pending
amendment_history,current_phase_id,text,no,no,yes,no,,GAP_table_pending
amendment_history,clearance_level_id,text,no,no,yes,no,,GAP_table_pending
amendment_history,signature_level_id,text,yes,no,yes,no,,nullable_unmapped
amendment_history,created_at,timestamptz,no,no,yes,no,,audit_timestamp
amendment_history,updated_at,timestamptz,no,no,yes,no,,audit_timestamp
amendment_history,status_updated_at,timestamptz,no,no,yes,no,,GAP_table_pending
application,id,uuid,no,no,no,no,,GAP_table_pending
application,application_type_id,text,no,no,no,no,,GAP_table_pending
application_date,application_id,uuid,no,no,no,yes,mdcd_demo,mapped
application_date,date_type_id,text,no,no,no,yes,mdcd_demo,mapped
application_date,date_value,timestamptz,no,no,no,yes,mdcd_demo,mapped
application_date,created_at,timestamptz,no,yes,no,yes,mdcd_demo,default
application_date,updated_at,timestamptz,no,no,no,yes,mdcd_demo,audit_timestamp
application_date_history,revision_id,serial,no,no,yes,no,,history_system
application_date_history,revision_type,revision_type_enum,no,no,yes,no,,history_system
application_date_history,modified_at,timestamptz,no,yes,yes,no,,history_system
application_date_history,application_id,uuid,no,no,yes,no,,GAP_table_pending
application_date_history,date_type_id,text,no,no,yes,no,,GAP_table_pending
application_date_history,date_value,timestamptz,no,no,yes,no,,GAP_table_pending
application_date_history,created_at,timestamptz,no,no,yes,no,,audit_timestamp
application_date_history,updated_at,timestamptz,no,no,yes,no,,audit_timestamp
application_history,revision_id,serial,no,no,yes,no,,history_system
application_history,revision_type,revision_type_enum,no,no,yes,no,,history_system
application_history,modified_at,timestamptz,no,yes,yes,no,,history_system
application_history,id,uuid,no,no,yes,no,,GAP_table_pending
application_history,application_type_id,text,no,no,yes,no,,GAP_table_pending
application_note,application_id,uuid,no,no,no,no,,GAP_table_pending
application_note,note_type_id,text,no,no,no,no,,GAP_table_pending
application_note,content,text,no,no,no,no,,GAP_table_pending
application_note,created_at,timestamptz,no,yes,no,no,,default
application_note,updated_at,timestamptz,no,no,no,no,,audit_timestamp
application_note_history,revision_id,serial,no,no,yes,no,,history_system
application_note_history,revision_type,revision_type_enum,no,no,yes,no,,history_system
application_note_history,modified_at,timestamptz,no,yes,yes,no,,history_system
application_note_history,application_id,uuid,no,no,yes,no,,GAP_table_pending
application_note_history,note_type_id,text,no,no,yes,no,,GAP_table_pending
application_note_history,content,text,no,no,yes,no,,GAP_table_pending
application_note_history,created_at,timestamptz,no,no,yes,no,,audit_timestamp
application_note_history,updated_at,timestamptz,no,no,yes,no,,audit_timestamp
application_phase,application_id,uuid,no,no,no,no,,GAP_table_pending
application_phase,phase_id,text,no,no,no,no,,GAP_table_pending
application_phase,phase_status_id,text,no,no,no,no,,GAP_table_pending
application_phase,created_at,timestamptz,no,yes,no,no,,default
application_phase,updated_at,timestamptz,no,no,no,no,,audit_timestamp
application_phase_history,revision_id,serial,no,no,yes,no,,history_system
application_phase_history,revision_type,revision_type_enum,no,no,yes,no,,history_system
application_phase_history,modified_at,timestamptz,no,yes,yes,no,,history_system
application_phase_history,application_id,uuid,no,no,yes,no,,GAP_table_pending
application_phase_history,phase_id,text,no,no,yes,no,,GAP_table_pending
