from_table_qual,from_column,to_table,to_column,confidence,notes,source,prisma_status
mysql_raw.bdgt_ntrlty_demo_fscl_yr,creatd_user_id,,id,LOW,,sql,sql_only
mysql_raw.bdgt_ntrlty_demo_fscl_yr,mdcd_demo_id,mdcd_demo,mdcd_demo_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_demo_yr,bdgt_ntrlty_tmplt_fil_doc_id,bdgt_ntrlty_tmplt_fil_doc,bdgt_ntrlty_tmplt_fil_doc_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_demo_yr,creatd_user_id,,id,LOW,,sql,sql_only
mysql_raw.bdgt_ntrlty_demo_yr,mdcd_demo_id,mdcd_demo,mdcd_demo_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_demo_yr_fscl_yr_link,bdgt_ntrlty_demo_fscl_yr_id,bdgt_ntrlty_demo_fscl_yr,bdgt_ntrlty_demo_fscl_yr_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_demo_yr_fscl_yr_link,bdgt_ntrlty_demo_yr_id,bdgt_ntrlty_demo_yr,bdgt_ntrlty_demo_yr_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_demo_yr_fscl_yr_link,creatd_user_id,,id,LOW,,sql,sql_only
mysql_raw.bdgt_ntrlty_fil_doc_cmt,mdcd_dlvrbl_fil_doc_id,mdcd_dlvrbl_fil_doc,mdcd_dlvrbl_fil_doc_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_fil_doc_msg,bdgt_ntrlty_tmplt_fil_doc_id,bdgt_ntrlty_tmplt_fil_doc,bdgt_ntrlty_tmplt_fil_doc_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_fil_doc_msg,mdcd_demo_id,mdcd_demo,mdcd_demo_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_fil_doc_msg,mdcd_dlvrbl_fil_doc_id,mdcd_dlvrbl_fil_doc,mdcd_dlvrbl_fil_doc_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_fil_doc_msg,msg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.bdgt_ntrlty_fil_doc_msg,user_id,,id,LOW,,sql,sql_only
mysql_raw.bdgt_ntrlty_fil_doc_smry,mdcd_dlvrbl_fil_doc_id,mdcd_dlvrbl_fil_doc,mdcd_dlvrbl_fil_doc_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_fil_doc_stus,mdcd_dlvrbl_acptnc_stus_cd,mdcd_dlvrbl_acptnc_stus_rfrnc,mdcd_dlvrbl_acptnc_stus_cd,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_fil_doc_stus,mdcd_dlvrbl_fil_doc_id,mdcd_dlvrbl_fil_doc,mdcd_dlvrbl_fil_doc_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp,bdgt_ntrlty_tmplt_fil_doc_id,bdgt_ntrlty_tmplt_fil_doc,bdgt_ntrlty_tmplt_fil_doc_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp,creatd_user_id,,id,LOW,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp,mdcd_demo_id,mdcd_demo,mdcd_demo_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_pop,bdgt_ntrlty_mdcd_elgblty_grp_id,bdgt_ntrlty_mdcd_elgblty_grp,bdgt_ntrlty_mdcd_elgblty_grp_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_pop,bdgt_ntrlty_mdcd_elgblty_grp_pop_cd,bdgt_ntrlty_mdcd_elgblty_grp_pop,bdgt_ntrlty_mdcd_elgblty_grp_pop_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_pop,bdgt_ntrlty_tmplt_fil_doc_id,bdgt_ntrlty_tmplt_fil_doc,bdgt_ntrlty_tmplt_fil_doc_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_pop,creatd_user_id,,id,LOW,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_pop,end_yr_id,,id,LOW,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_pop,mdcd_demo_id,mdcd_demo,mdcd_demo_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_pop,percapita_cd,,id,LOW,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_pop,strt_yr_id,,id,LOW,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_pop,svgs_cd,,id,LOW,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_wvr_link,bdgt_ntrlty_demo_yr_id,bdgt_ntrlty_demo_yr,bdgt_ntrlty_demo_yr_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_wvr_link,bdgt_ntrlty_mdcd_elgblty_grp_id,bdgt_ntrlty_mdcd_elgblty_grp,bdgt_ntrlty_mdcd_elgblty_grp_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_wvr_link,bdgt_ntrlty_tmplt_fil_doc_id,bdgt_ntrlty_tmplt_fil_doc,bdgt_ntrlty_tmplt_fil_doc_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_wvr_link,bdgt_ntrlty_wvr_id,bdgt_ntrlty_wvr,bdgt_ntrlty_wvr_id,HIGH,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_wvr_link,creatd_user_id,,id,LOW,,sql,sql_only
mysql_raw.bdgt_ntrlty_mdcd_elgblty_grp_wvr_link,mdcd_demo_id,mdcd_demo,mdcd_demo_id,HIGH,,sql,sql_only
