id,deleted,status_cd,status_name,mdcd_demo_aplctn_stus_dt,phase_1_strt_dt,phase_1_end_dt,phase_2_rcvd_dt,phase_2_cmpltns_rvw_dt,phase_2_state_aplctn_deemd_cmpltn_dt,phase_2_fed_cmt_prd_strt_dt,phase_2_fed_cmt_prd_end_dt,phase_2_dsrd_aprvl_dt,phase_3_a_sme_strt_dt,phase_3_a_sme_end_dt,phase_3_a_frvt_strt_dt,phase_3_a_frvt_end_dt,phase_3_b_cmcs_strt_dt,phase_3_b_cmcs_end_dt,phase_3_b_ogc_strt_dt,phase_3_b_ogc_end_dt,phase_3_b_omb_strt_dt,phase_3_b_omb_end_dt,phase_3_c_ogc_strt_dt,phase_3_c_ogc_end_dt,phase_3_c_omb_strt_dt,phase_3_c_omb_end_dt,phase_4_strt_dt,phase_4_end_dt,phase_5_strt_dt,phase_5_end_dt,phase_6_strt_dt,phase_6_end_dt
157,0,9,Approved,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,0,9,Approved,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,0,9,Approved,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
93,0,9,Approved,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
198,0,9,Approved,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
8,0,8,Withdrawn,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
3,0,9,Approved,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0
16,0,5,On Hold - State Request,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0
10,0,4,On Hold - Pending Policy Decision,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
444,0,9,Approved,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0
