id,status_name,date_column,filled
1,On Hold - Pending Policy Decision,mdcd_demo_aplctn_stus_dt,1
1,On Hold - Pending Policy Decision,phase_2_state_aplctn_deemd_cmpltn_dt,1
1,On Hold - Pending Policy Decision,phase_2_cmpltns_rvw_dt,1
1,On Hold - Pending Policy Decision,phase_2_rcvd_dt,1
2,On Hold - Pending Policy Decision,mdcd_demo_aplctn_stus_dt,1
2,On Hold - Pending Policy Decision,phase_2_state_aplctn_deemd_cmpltn_dt,1
2,On Hold - Pending Policy Decision,phase_2_cmpltns_rvw_dt,1
2,On Hold - Pending Policy Decision,phase_2_rcvd_dt,1
3,Approved,mdcd_demo_aplctn_stus_dt,1
3,Approved,phase_3_c_ogc_strt_dt,1
3,Approved,phase_3_a_sme_strt_dt,1
3,Approved,phase_2_state_aplctn_deemd_cmpltn_dt,1
3,Approved,phase_3_b_cmcs_strt_dt,1
3,Approved,phase_3_b_omb_strt_dt,1
3,Approved,phase_2_dsrd_aprvl_dt,1
3,Approved,phase_3_c_omb_end_dt,1
3,Approved,phase_2_fed_cmt_prd_strt_dt,1
3,Approved,phase_3_b_ogc_strt_dt,1
3,Approved,phase_2_fed_cmt_prd_end_dt,1
3,Approved,phase_4_end_dt,1
3,Approved,phase_3_c_ogc_end_dt,1
3,Approved,phase_3_c_omb_strt_dt,1
3,Approved,phase_3_a_sme_end_dt,1
3,Approved,phase_4_strt_dt,1
3,Approved,phase_2_cmpltns_rvw_dt,1
3,Approved,phase_2_rcvd_dt,1
4,Approved,mdcd_demo_aplctn_stus_dt,1
4,Approved,phase_3_b_ogc_end_dt,1
4,Approved,phase_2_state_aplctn_deemd_cmpltn_dt,1
4,Approved,phase_3_a_sme_end_dt,1
4,Approved,phase_3_c_ogc_strt_dt,1
4,Approved,phase_3_b_ogc_strt_dt,1
4,Approved,phase_3_b_omb_strt_dt,1
4,Approved,phase_2_fed_cmt_prd_end_dt,1
4,Approved,phase_3_c_omb_strt_dt,1
4,Approved,phase_3_b_cmcs_strt_dt,1
4,Approved,phase_3_a_sme_strt_dt,1
4,Approved,phase_2_fed_cmt_prd_strt_dt,1
4,Approved,phase_2_cmpltns_rvw_dt,1
4,Approved,phase_2_rcvd_dt,1
5,Under Review,mdcd_demo_aplctn_stus_dt,1
5,Under Review,phase_2_fed_cmt_prd_strt_dt,1
5,Under Review,phase_3_a_sme_end_dt,1
5,Under Review,phase_3_b_cmcs_strt_dt,1
5,Under Review,phase_2_fed_cmt_prd_end_dt,1
5,Under Review,phase_2_state_aplctn_deemd_cmpltn_dt,1
5,Under Review,phase_3_a_sme_strt_dt,1
5,Under Review,phase_2_dsrd_aprvl_dt,1
5,Under Review,phase_2_cmpltns_rvw_dt,1
5,Under Review,phase_2_rcvd_dt,1
5,Under Review,phase_1_end_dt,1
5,Under Review,phase_1_strt_dt,1
6,On Hold - Pending Policy Decision,mdcd_demo_aplctn_stus_dt,1
6,On Hold - Pending Policy Decision,phase_3_a_sme_end_dt,1
6,On Hold - Pending Policy Decision,phase_3_a_sme_strt_dt,1
6,On Hold - Pending Policy Decision,phase_2_fed_cmt_prd_end_dt,1
6,On Hold - Pending Policy Decision,phase_2_fed_cmt_prd_strt_dt,1
6,On Hold - Pending Policy Decision,phase_2_state_aplctn_deemd_cmpltn_dt,1
6,On Hold - Pending Policy Decision,phase_2_cmpltns_rvw_dt,1
6,On Hold - Pending Policy Decision,phase_2_rcvd_dt,1
6,On Hold - Pending Policy Decision,phase_1_strt_dt,1
6,On Hold - Pending Policy Decision,phase_1_end_dt,1
7,On Hold - Pending Policy Decision,mdcd_demo_aplctn_stus_dt,1
7,On Hold - Pending Policy Decision,phase_3_a_sme_strt_dt,1
7,On Hold - Pending Policy Decision,phase_2_fed_cmt_prd_strt_dt,1
7,On Hold - Pending Policy Decision,phase_2_state_aplctn_deemd_cmpltn_dt,1
7,On Hold - Pending Policy Decision,phase_2_fed_cmt_prd_end_dt,1
7,On Hold - Pending Policy Decision,phase_3_a_sme_end_dt,1
7,On Hold - Pending Policy Decision,phase_2_cmpltns_rvw_dt,1
7,On Hold - Pending Policy Decision,phase_2_rcvd_dt,1
8,Withdrawn,mdcd_demo_aplctn_stus_dt,1
8,Withdrawn,phase_3_b_cmcs_end_dt,1
8,Withdrawn,phase_3_a_sme_strt_dt,1
8,Withdrawn,phase_2_state_aplctn_deemd_cmpltn_dt,1
8,Withdrawn,phase_3_c_ogc_end_dt,1
8,Withdrawn,phase_2_fed_cmt_prd_strt_dt,1
8,Withdrawn,phase_3_c_ogc_strt_dt,1
8,Withdrawn,phase_2_fed_cmt_prd_end_dt,1
8,Withdrawn,phase_3_b_omb_end_dt,1
8,Withdrawn,phase_3_a_sme_end_dt,1
8,Withdrawn,phase_3_b_omb_strt_dt,1
8,Withdrawn,phase_3_b_cmcs_strt_dt,1
8,Withdrawn,phase_3_b_ogc_end_dt,1
8,Withdrawn,phase_2_dsrd_aprvl_dt,1
8,Withdrawn,phase_3_c_omb_end_dt,1
8,Withdrawn,phase_3_b_ogc_strt_dt,1
8,Withdrawn,phase_3_c_omb_strt_dt,1
8,Withdrawn,phase_2_cmpltns_rvw_dt,1
8,Withdrawn,phase_2_rcvd_dt,1
9,Withdrawn,mdcd_demo_aplctn_stus_dt,1
9,Withdrawn,phase_3_a_sme_end_dt,1
9,Withdrawn,phase_3_b_ogc_strt_dt,1
9,Withdrawn,phase_4_strt_dt,1
9,Withdrawn,phase_3_a_sme_strt_dt,1
9,Withdrawn,phase_2_fed_cmt_prd_end_dt,1
9,Withdrawn,phase_3_b_cmcs_strt_dt,1
9,Withdrawn,phase_3_b_omb_strt_dt,1
9,Withdrawn,phase_2_state_aplctn_deemd_cmpltn_dt,1
9,Withdrawn,phase_2_fed_cmt_prd_strt_dt,1
9,Withdrawn,phase_2_cmpltns_rvw_dt,1
9,Withdrawn,phase_2_rcvd_dt,1
9,Withdrawn,phase_1_end_dt,1
9,Withdrawn,phase_1_strt_dt,1
10,On Hold - Pending Policy Decision,mdcd_demo_aplctn_stus_dt,1
10,On Hold - Pending Policy Decision,phase_3_b_omb_strt_dt,1
10,On Hold - Pending Policy Decision,phase_2_fed_cmt_prd_end_dt,1
10,On Hold - Pending Policy Decision,phase_3_b_ogc_strt_dt,1
10,On Hold - Pending Policy Decision,phase_3_b_cmcs_strt_dt,1
10,On Hold - Pending Policy Decision,phase_2_state_aplctn_deemd_cmpltn_dt,1
10,On Hold - Pending Policy Decision,phase_3_c_omb_strt_dt,1
10,On Hold - Pending Policy Decision,phase_3_a_sme_end_dt,1
10,On Hold - Pending Policy Decision,phase_3_c_ogc_strt_dt,1
10,On Hold - Pending Policy Decision,phase_2_fed_cmt_prd_strt_dt,1
10,On Hold - Pending Policy Decision,phase_3_a_sme_strt_dt,1
10,On Hold - Pending Policy Decision,phase_2_cmpltns_rvw_dt,1
10,On Hold - Pending Policy Decision,phase_2_rcvd_dt,1
10,On Hold - Pending Policy Decision,phase_1_end_dt,1
10,On Hold - Pending Policy Decision,phase_1_strt_dt,1
11,Approved,mdcd_demo_aplctn_stus_dt,1
11,Approved,phase_2_rcvd_dt,1
12,On Hold - Pending Policy Decision,mdcd_demo_aplctn_stus_dt,1
12,On Hold - Pending Policy Decision,phase_2_fed_cmt_prd_strt_dt,1
12,On Hold - Pending Policy Decision,phase_3_a_sme_end_dt,1
12,On Hold - Pending Policy Decision,phase_3_a_sme_strt_dt,1
12,On Hold - Pending Policy Decision,phase_2_state_aplctn_deemd_cmpltn_dt,1
12,On Hold - Pending Policy Decision,phase_3_b_cmcs_strt_dt,1
12,On Hold - Pending Policy Decision,phase_2_fed_cmt_prd_end_dt,1
12,On Hold - Pending Policy Decision,phase_2_cmpltns_rvw_dt,1
12,On Hold - Pending Policy Decision,phase_2_rcvd_dt,1
12,On Hold - Pending Policy Decision,phase_1_end_dt,1
12,On Hold - Pending Policy Decision,phase_1_strt_dt,1
13,Withdrawn,mdcd_demo_aplctn_stus_dt,1
13,Withdrawn,phase_2_fed_cmt_prd_strt_dt,1
13,Withdrawn,phase_2_state_aplctn_deemd_cmpltn_dt,1
13,Withdrawn,phase_3_a_sme_end_dt,1
13,Withdrawn,phase_3_a_sme_strt_dt,1
13,Withdrawn,phase_3_b_cmcs_strt_dt,1
13,Withdrawn,phase_2_fed_cmt_prd_end_dt,1
13,Withdrawn,phase_3_b_ogc_strt_dt,1
13,Withdrawn,phase_2_cmpltns_rvw_dt,1
13,Withdrawn,phase_2_rcvd_dt,1
14,Withdrawn,mdcd_demo_aplctn_stus_dt,1
14,Withdrawn,phase_3_a_sme_strt_dt,1
14,Withdrawn,phase_2_fed_cmt_prd_end_dt,1
14,Withdrawn,phase_2_state_aplctn_deemd_cmpltn_dt,1
14,Withdrawn,phase_3_b_cmcs_strt_dt,1
14,Withdrawn,phase_3_a_sme_end_dt,1
14,Withdrawn,phase_2_fed_cmt_prd_strt_dt,1
14,Withdrawn,phase_2_cmpltns_rvw_dt,1
14,Withdrawn,phase_2_rcvd_dt,1
15,On Hold - State Request,mdcd_demo_aplctn_stus_dt,1
15,On Hold - State Request,phase_2_fed_cmt_prd_end_dt,1
15,On Hold - State Request,phase_2_state_aplctn_deemd_cmpltn_dt,1
15,On Hold - State Request,phase_2_fed_cmt_prd_strt_dt,1
15,On Hold - State Request,phase_2_cmpltns_rvw_dt,1
15,On Hold - State Request,phase_2_rcvd_dt,1
16,On Hold - State Request,mdcd_demo_aplctn_stus_dt,1
16,On Hold - State Request,phase_3_b_cmcs_strt_dt,1
16,On Hold - State Request,phase_4_end_dt,1
16,On Hold - State Request,phase_3_c_omb_end_dt,1
16,On Hold - State Request,phase_3_b_ogc_strt_dt,1
16,On Hold - State Request,phase_3_b_ogc_end_dt,1
16,On Hold - State Request,phase_4_strt_dt,1
16,On Hold - State Request,phase_2_state_aplctn_deemd_cmpltn_dt,1
16,On Hold - State Request,phase_3_c_ogc_strt_dt,1
16,On Hold - State Request,phase_5_strt_dt,1
16,On Hold - State Request,phase_3_c_omb_strt_dt,1
16,On Hold - State Request,phase_3_a_sme_strt_dt,1
16,On Hold - State Request,phase_3_b_omb_strt_dt,1
16,On Hold - State Request,phase_2_cmpltns_rvw_dt,1
16,On Hold - State Request,phase_2_rcvd_dt,1
16,On Hold - State Request,phase_1_strt_dt,1
17,Withdrawn,mdcd_demo_aplctn_stus_dt,1
17,Withdrawn,phase_2_state_aplctn_deemd_cmpltn_dt,1
17,Withdrawn,phase_2_cmpltns_rvw_dt,1
17,Withdrawn,phase_2_rcvd_dt,1
17,Withdrawn,phase_1_end_dt,1
17,Withdrawn,phase_1_strt_dt,1
18,Under Review,mdcd_demo_aplctn_stus_dt,1
18,Under Review,phase_2_state_aplctn_deemd_cmpltn_dt,1
18,Under Review,phase_3_b_ogc_strt_dt,1
18,Under Review,phase_2_fed_cmt_prd_end_dt,1
18,Under Review,phase_3_b_omb_strt_dt,1
18,Under Review,phase_2_fed_cmt_prd_strt_dt,1
18,Under Review,phase_2_rcvd_dt,1
88,Approved,mdcd_demo_aplctn_stus_dt,1
88,Approved,phase_2_cmpltns_rvw_dt,1
88,Approved,phase_2_rcvd_dt,1
89,Approved,mdcd_demo_aplctn_stus_dt,1
89,Approved,phase_2_cmpltns_rvw_dt,1
89,Approved,phase_2_rcvd_dt,1
91,Approved,mdcd_demo_aplctn_stus_dt,1
