amendment_uuid,name,signature_cd
01202dd5-67e9-432f-a5ef-d9e4e49f8f76,PDL Amendment,0
01dca696-c094-4f14-ade8-c96f19292a92,DC managed care risk mitigation COVID-19 PHE amendment,0
08ced498-8997-401c-a186-daa67a4ff809,30 month lookback amendment,0
08fceebe-6835-408b-97de-b7f3b8522706,Maine SUD Budget Neutrality Amendment,3
0965889d-2796-4022-adc9-7ad6b2f7895e,New Mexico Centennial Care 2.0 Demonstration:  COVID PHE Amendment,0
0983387d-e4cd-40e2-9f63-15499b6700cd,,0
09f34d93-656c-4793-ad53-f06d53f03192,Insure Oklahoma Amendment,0
0ad53526-62cf-405b-aaaf-d62dfa2433b6,Managed Care Risk Mitigation COVID-19 PHE Amendment,0
0b8752ca-48d3-4e08-8369-d92c9d1b0427,Premiums / Cost Sharing and Premium Assistance Amendment,0
0c74168d-4ed3-485b-aca4-d82cd5ca4fa5,Nebraska Managed Care Risk Mitigation COVID-19 PHE Amendment,0
0c8d7081-fa79-43f5-bf2c-1c6240634093,,0
11bbbe73-e085-4be3-84ec-70cfb3a2f31b,RI Managed Care Risk Mitigation COVID-19 Amendment,0
14631a8e-32a3-4657-a29e-9374112a72e9,HCBS Enhancements,0
17824de2-664e-4b21-8924-31d67a0a6d90,,0
17fae73d-32e2-487b-802d-4245eb8dac1b,Pharmacy Amendment,0
196cd174-4db0-4d4d-bc83-612c75b53c0c,Community Engagement Amendment,0
19b802ba-c68d-434e-945b-f3518e3246a8,,0
1bd03341-d171-424d-8bf8-acb73c44c57a,COVID-19 Amendment,0
2073f1f3-9c70-4e27-9f9e-4105c51be8f7,Michigan COVID 19 PHE Amendment,0
224b4c22-66d1-40fe-ae57-04c911173d74,HCBS Amendment,0
280e7e47-9d18-4963-bfa5-22dab94f8408,Managed Care Risk Mitigation COVID-19 PHE amendment,0
2916eb15-b065-4f44-ac82-a37475aedeab,Managed Care Risk Mitigation COVID-19 PHE Amendment,0
29ab19d5-52cc-4a54-a6dd-630a541435e9,4585,0
29e32598-e539-49b8-85fb-3b96c71a9f1f,,0
2b0c1e40-571d-4b06-975b-02d163f138ae,Serious Mental Illness Amendment,0
2b8070d1-36c9-4562-8686-3551ae2ef257,Workforce Bridge Account,0
2d35dad4-a3f0-44e9-b79b-8ae9f29642fe,COVID-19 Amendment,0
2df84448-6f71-4914-b227-3ffbb6c3f3b8,Montana Waiver for Additional Services and Populations,0
30ab422b-a62e-4fb7-a829-19c6684826b7,,0
31c6c568-37af-4d37-887b-636ff767fea1,COVID-19 Amendment,0
3208d7be-c6bf-4fe3-b373-f528c99dd548,COVID-19 Amendment,0
3c42d745-e2c8-42df-827f-910a55f563bb,Florida Medicaid Family Planning Waiver Amendment,0
3e8e9f28-7839-450e-bfa9-e7ba9a47dc6f,,0
4278f28d-1806-4898-b56e-5fe6a7cc3bbb,Serious Mental Illness Amendment,0
42bda103-5071-4e05-95df-6a21b02309a0,NY Managed Care Risk Mitigation COVID-19 Amendment,0
4510420f-1095-4c0c-b6ff-8f909a92ff6b,HCBS Amendment,0
45460c60-fb59-4c72-87b1-253ff9674656,Justice Involved Amendment,0
4c859061-4d2d-4ba2-9b25-ed2ea253a660,Attachment K PCS Amendment,3
4f4ca8f2-642d-486b-9e1b-403d044e0c08,ABA Amendment,0
52a0996b-7c44-494d-b776-c61ea23e8151,Housing Supports Amendment,0
52e72c12-28f6-40b8-847a-8955b3e9e17e,COVID-19 Amendment,0
5532f408-4825-42fc-b2bf-df1a8c6f35ef,,0
563107d6-fbe5-4d2e-b9c0-82224b7b799f,Life360 HOMEs,0
5658e206-a582-4aa5-b4c9-8dc15f882ede,COVID-19 HCBS Amendment,0
59c17cc5-53df-493c-9fe7-8c60fc74b2e9,Serious Mental Illness Amendment,0
5a771745-7b29-42b9-b42a-67ae2458aa9f,Budget Neutrality CAP Amendment,0
5b401019-3ea0-4a2b-b244-522d987c44d4,Managed Care Risk Mitigation COVID-19 PHE Amendment,0
5d3e70d1-a912-40f5-a96f-2972c859d992,Substance Use Disorder and Serious Mental Illness Amendment,0
644cea4d-9889-4f33-8e94-aba05cac72c7,Extended Postpartum Coverage,0
65e2a59a-dd59-4fdb-abc6-741972bc1a84,Illinois managed care risk mitigation COVID-19 PHE amendment,0
6eb1f8a6-6dcb-4f27-990f-3c938fd2478d,Managed Care Risk Mitigation COVID-19 PHE Amendment,0
6ef3661c-b813-425e-95ee-75a33095b612,Amendment 1,0
6f50e23b-ce21-4e18-8fb6-f7775b89e41e,OR SUD BHP Amendment,3
713bada4-df31-4258-9b20-9dadac43c1cc,Enrollment of Pregnant Women with Income between 134% & 185% FPL and AI/AN Members with IHS Creditable Coverage,3
753784a3-c5ec-4826-a5ee-dfc9664cbf90,COVID-19 Amendment,0
7620c5a8-13b4-4e80-8ccc-b0fdc4b51492,,0
79b7bb6e-2230-4d76-a4fc-b498031190a3,COVID-19 Amendment,0
7c43bc46-6034-4df6-a40f-d8bba45e320a,COVID-19 Amendment,0
7d002e7e-6ac9-47ea-8ae7-5ef111b9202a,Managed Care Risk Mitigation COVID-19 PHE amendment,0
7df48294-35e2-48bb-a302-883b6a0484d4,,0
7f405a54-2777-4fa1-85c0-8dbaa1c7d361,WV managed care risk mitigation COVID-19 PHE amendment,0
812eee93-224e-45d1-8b44-b5f112330a1c,CPW Case Management,0
861404d8-993a-4c33-965d-bc3c1e399e6e,Managed Care Risk Mitigation COVID-19 PHE Amendment,0
86df92e1-e4ed-47f1-9bdf-56f216818bba,Managed Care Risk Mitigation COVID-19 PHE amendment,0
886828db-adcb-49a5-9550-45030a0bf747,Coverage of Adopted Children,0
8bc0e86e-5664-4591-9036-7ab117e05470,,0
8dd91d38-fbd3-4d49-8735-c3aa42dc6a73,Florida Managed Medical Assistance (MMA) Amendment,0
9008eeb6-3e3f-4377-95ac-ab76d560f56f,,0
9082ab6c-6c8c-4290-8cb9-0497a54b355b,Delaware COVID 19 Amendment,0
9760ad22-46a9-46ba-83ce-d070c4b71e00,smoke test amendment,0
9840a93a-f1ad-4711-aec1-d180ad3da348,,0
99b5f4e4-9072-4d43-a767-888ff839fa20,"Delivery System Reform Incentive Payment & COVID-19 Amendment: Request from 2020,  we never acted upon it, state never withdrew",0
