amendment_uuid,demo_uuid,name,status_cd
01202dd5-67e9-432f-a5ef-d9e4e49f8f76,f723aea0-4ef8-4a60-b98e-0393f346cfbd,PDL Amendment,
01dca696-c094-4f14-ade8-c96f19292a92,b58d203e-fe49-446d-8872-05ee866c51bc,DC managed care risk mitigation COVID-19 PHE amendment,
0473183d-2e93-4371-a841-47350d3e765b,bb46787a-42bc-417f-a7b8-cdef0fda771f,"CO SUD Amendment:  Reentry, SMI/SED, and Continuous Eligibility",
08ced498-8997-401c-a186-daa67a4ff809,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,30 month lookback amendment,
08fceebe-6835-408b-97de-b7f3b8522706,e05f17af-8550-4ebe-81d5-e3804993556c,Maine SUD Budget Neutrality Amendment,
0965889d-2796-4022-adc9-7ad6b2f7895e,ec46307f-ec7b-4e65-a15e-bb1c3d360114,New Mexico Centennial Care 2.0 Demonstration:  COVID PHE Amendment,
09f34d93-656c-4793-ad53-f06d53f03192,0b11ca84-a492-41e1-9fb1-7c988da310ba,Insure Oklahoma Amendment,
0ad53526-62cf-405b-aaaf-d62dfa2433b6,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,Managed Care Risk Mitigation COVID-19 PHE Amendment,
0b8752ca-48d3-4e08-8369-d92c9d1b0427,51573012-04dc-491f-b41a-0bb4b24efec9,Premiums / Cost Sharing and Premium Assistance Amendment,
0cc17b4c-5437-425e-9700-c8e90f09aaf6,b9d64f02-8673-49dd-892f-63a63865358e,QRTP Services Amendment,
110f9760-16ff-4adf-8f29-1c0a24db5ca0,0977ad7f-a35c-4e4e-b50b-2f1834ad5014,New Jersey FamilyCare Comprehensive Demonstration CHIP COVID PHE Amendment,
11bbbe73-e085-4be3-84ec-70cfb3a2f31b,d40d1207-a663-40bd-8036-287fc06ea360,RI Managed Care Risk Mitigation COVID-19 Amendment,
123b47d8-b25f-448b-a762-b51d97c518dc,e14e3eb8-f350-403c-bee3-21868690dfe4,LTSS for Behaviorally Complex Individuals,
150fd48e-7a9a-4417-a4a2-04e6240e0da1,e14e3eb8-f350-403c-bee3-21868690dfe4,Community Engagement,
16b94b99-94e4-47f7-86f2-235d6fbbb3f0,e14e3eb8-f350-403c-bee3-21868690dfe4,Retro and Premiums / Cost Sharing Amendment,
17fae73d-32e2-487b-802d-4245eb8dac1b,fb67f194-6495-46de-b313-f37e3f77892e,Pharmacy Amendment,
194ee888-180e-4ec1-86e2-90ac54999c6e,e14e3eb8-f350-403c-bee3-21868690dfe4,Medical Respite Amendment,
1b155e69-e927-4a64-be66-940ac3093a0d,e14e3eb8-f350-403c-bee3-21868690dfe4,Dental Services,
1bd03341-d171-424d-8bf8-acb73c44c57a,76f5cfc6-aae5-470d-bdd3-9492644e3dbd,COVID-19 Amendment,
1c26a74c-03ef-4302-94a0-3b794cf583ab,51573012-04dc-491f-b41a-0bb4b24efec9,"HRSN, Eligibility, Marketplace Subsidies, & Reentry",
1e0a7577-b08e-46bf-8119-1aa425b90334,76f5cfc6-aae5-470d-bdd3-9492644e3dbd,Georgia PCS COVID-19 Amendment,
2071241b-eaec-4108-9ad5-5d5bc6f96071,a1720a4f-5984-4b4c-b929-d10fb071ee97,Dentures Amendment,
2073f1f3-9c70-4e27-9f9e-4105c51be8f7,cfd0656a-ae45-41c2-bb82-62df6645076f,Michigan COVID 19 PHE Amendment,
224b4c22-66d1-40fe-ae57-04c911173d74,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,HCBS Amendment,
279bc6a9-6a87-474f-881b-b14b05f731c8,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,"Tribal Amendment, Traditional Healers and Natural Helpers",
27c14bd5-9e48-4833-8da0-d0bd2727aaec,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,Managed Care Model Changes,
280e7e47-9d18-4963-bfa5-22dab94f8408,6121bb37-1f43-4709-be1d-7e2e0e1524e4,Managed Care Risk Mitigation COVID-19 PHE amendment,
2accbe88-b9ce-4d0f-8368-d4f8352301a5,be915209-b5be-4971-8147-6e50ee5ed395,NMT for HRSN,
2b0c1e40-571d-4b06-975b-02d163f138ae,51573012-04dc-491f-b41a-0bb4b24efec9,Serious Mental Illness Amendment,
2b8070d1-36c9-4562-8686-3551ae2ef257,60ea7851-9e7e-4105-ae9d-fdf7ee9dce7a,Workforce Bridge Account,
2c51fad0-036e-4062-96d3-f741d1f23341,71e8bdde-35a5-43a0-9ebd-53cd29bb5aed,Continuous Eligibility,
2d35dad4-a3f0-44e9-b79b-8ae9f29642fe,43f0f178-3151-4e8f-9836-5c92522c971f,COVID-19 Amendment,
2df84448-6f71-4914-b227-3ffbb6c3f3b8,f935244b-2eac-4613-b7fa-d94d731015c5,Montana Waiver for Additional Services and Populations,
2e8fea71-0bde-4508-8478-9413704abf1d,b948eef7-7d1c-44a1-bce9-264e1bd1adbd,Family Home Health Aide Services Program,
2f5ee146-d497-4de9-8d00-e67db4a54563,b9d64f02-8673-49dd-892f-63a63865358e,CAA Waiver,
2f94274e-5b24-467e-a3e1-3ea5dd93bbec,0181f074-ee92-420b-822d-aedfadcd4c7d,CHIP Expansion,
3208d7be-c6bf-4fe3-b373-f528c99dd548,80a1a128-5ef0-47ba-af5a-d9bb4be2af9f,COVID-19 Amendment,
356a9ff0-124e-4a2f-9629-08e72f33b78b,bf354cb7-af95-45ad-9efa-9e9c76184a8a,Reasonable Opportunity Period,
35eb3be5-e50e-49d3-bf7c-42fa6f767e87,e9225e11-2ed6-4c44-b08b-497ff585e349,Alter Date/HOP/Tailored Plan Amendment,
36b8a283-3e06-49b9-8236-e5947b849673,e14e3eb8-f350-403c-bee3-21868690dfe4,UPP Premium Increase for Children,
3954a225-e64e-4e6f-badd-e41ef1ed8ec4,8cb9aba6-e34e-451a-81b5-49212188a3a5,COVID-19 ROP Extension,
