deliverable_id,legacy_id,deliverable_type_cd,demos_deliverable_type,bdgt_ntrlty_ind,name,reason
72d6c7fb-276f-4ea6-b0d5-025b72ae86ab,1495,0,Demonstration-Specific Deliverable,0,Assessment of budget neutrality,name mentions budget neutrality but type is not BN
d210d960-e67d-4015-98e0-f226263ea15c,2402,3,Monitoring Report,0,Q2 Operational Report Budget Neutrality Updated,name mentions budget neutrality but type is not BN
4447652a-9b4f-42c4-820d-36aeec089f11,2409,3,Monitoring Report,0,Q2 Operational Report Budget Neutrality Updated Excel,name mentions budget neutrality but type is not BN
21215fe0-f8ce-4122-9e84-a5dcd4754883,2936,12,Monitoring Report,0,Medicaid Transformation Project - Budget Neutrality Report - January 2018,name mentions budget neutrality but type is not BN
6911c8fd-391f-4a6a-997c-79b02dd044df,2937,12,Monitoring Report,0,Medicaid Transformation Project - Budget Neutrality Report - 2019,name mentions budget neutrality but type is not BN
785e5e34-5ee8-4eb1-9d39-89a88d9487b0,2938,70,Annual Budget Neutrality Report,0,Medicaid Transformation Project - Budget Neutrality Report - January 2020,BN type (57/70) but bdgt_ntrlty_ind=0
ceb8e7c6-9abd-4b54-a477-6c7c9fc99129,2939,70,Annual Budget Neutrality Report,0,Medicaid Transformation Project - Budget Neutrality Report - January 2021,BN type (57/70) but bdgt_ntrlty_ind=0
7b945684-737a-4872-969c-d6ce25ac8781,2940,12,Monitoring Report,0,Medicaid Transformation Project - Budget Neutrality Report - January 2022,name mentions budget neutrality but type is not BN
8ba39d3f-523c-4bf2-adda-7e5aee635ab9,3298,0,Demonstration-Specific Deliverable,0,Texas Healthcare Transformation and Quality Improvement Program - Assurance of Budget Neutrality 2018 - October 2018,name mentions budget neutrality but type is not BN
a2f0f95b-4661-44df-9d24-5a4092666230,3339,3,Monitoring Report,0,MT WASP Q1 Budget Neutrality,name mentions budget neutrality but type is not BN
377a8ce8-5c65-4420-a2d1-2cfa0c689f62,3354,0,Demonstration-Specific Deliverable,0,MT WASP Budget Neutrality Submission 2016 and 2017,name mentions budget neutrality but type is not BN
3246b9e3-0c07-4c2a-ad5d-8ebbc6801e3e,3748,57,Quarterly Budget Neutrality Report,0,Texas Healthcare Transformation and Quality Improvement Program - Quarterly Budget Neutrality Report - March 2018,BN type (57/70) but bdgt_ntrlty_ind=0
7883d4ba-1c6a-4dfe-a234-8bdd3b234ac2,3749,57,Quarterly Budget Neutrality Report,0,Texas Healthcare Transformation and Quality Improvement Program - Quarterly Budget Neutrality Report - August 2018,BN type (57/70) but bdgt_ntrlty_ind=0
f9e210b3-048b-42f0-aca8-9f7ec251d995,3750,57,Quarterly Budget Neutrality Report,0,Texas Healthcare Transformation and Quality Improvement Program - Quarterly Budget Neutrality Report - November 2018,BN type (57/70) but bdgt_ntrlty_ind=0
6fe0a901-8ad1-4ca4-a448-cff5dcf2b67f,3751,57,Quarterly Budget Neutrality Report,0,Texas Healthcare Transformation and Quality Improvement Program - Quarterly Budget Neutrality Report - March 2019,BN type (57/70) but bdgt_ntrlty_ind=0
55b2e8d2-b011-4f89-93c2-12f27c7a6b19,3753,57,Quarterly Budget Neutrality Report,0,Texas Healthcare Transformation and Quality Improvement Program - Quarterly Budget Neutrality Report,BN type (57/70) but bdgt_ntrlty_ind=0
06cd7889-f9e2-43c1-92ca-25af6e3a1871,4265,57,Quarterly Budget Neutrality Report,0,Substance Use Disorder Treatment and Recovery Access (SUD-TRA) - Quarterly Expenditure Report - May 2022,BN type (57/70) but bdgt_ntrlty_ind=0
262f8045-2e45-4274-995a-06ef93d5aa17,4475,57,Quarterly Budget Neutrality Report,0,KanCare - Quarterly Budget Neutrality Report - February 2019,BN type (57/70) but bdgt_ntrlty_ind=0
967f0bdc-8cc6-42d9-997e-aeb001c3441d,4956,0,Demonstration-Specific Deliverable,0,Managed Medical Assistance - Quarterly Budget Neutrality Report - 01/01/2019 - 03/30/2019,name mentions budget neutrality but type is not BN
e4223d0e-0146-4b39-a0db-5294dfab355f,5811,55,Monitoring Report,0,Texas Healthcare Transformation and Quality Improvement Program - Annual Budget Neutrality Monitoring Report - October 2019,name mentions budget neutrality but type is not BN
b7bf54a4-7502-4b56-97dc-b3cb9785062f,5812,70,Annual Budget Neutrality Report,0,Texas Healthcare Transformation and Quality Improvement Program - Annual Budget Neutrality Monitoring Report - October 2020,BN type (57/70) but bdgt_ntrlty_ind=0
9dee8018-b289-47e1-bc5b-e83cd0d56d15,6094,53,Monitoring Report,0,Managed Medical Assistance - Quarterly Budget Neutrality Report  - DY14 Q1,name mentions budget neutrality but type is not BN
