legacy_id,legacy_pendg_demo_id,demonstration_id,othr_name,reason
2,20,0181f074-ee92-420b-822d-aedfadcd4c7d,Foster care children,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
4,20,0181f074-ee92-420b-822d-aedfadcd4c7d,Targeted Investment payments,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
5,21,0181f074-ee92-420b-822d-aedfadcd4c7d,Managed Care program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
6,21,0181f074-ee92-420b-822d-aedfadcd4c7d,Foster care children,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
7,21,0181f074-ee92-420b-822d-aedfadcd4c7d,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
8,21,0181f074-ee92-420b-822d-aedfadcd4c7d,Targeted Investment payments,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
9,22,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,N/A,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
12,22,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
16,23,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
19,24,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,N/A,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
22,24,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
24,31,68da4d77-9660-454c-8715-1dbf75bbc63a,UC Pool,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
25,31,68da4d77-9660-454c-8715-1dbf75bbc63a,Employment Support Pilot,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
27,32,68da4d77-9660-454c-8715-1dbf75bbc63a,UC Pool,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
28,32,68da4d77-9660-454c-8715-1dbf75bbc63a,Employment Support Pilot,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
30,33,dcdd103d-91da-441d-bd81-3aebf0b31e37,Retroactive Eligibility Waiver,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
31,33,dcdd103d-91da-441d-bd81-3aebf0b31e37,Change in Circumstance Non-Eligibility Period,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
32,33,dcdd103d-91da-441d-bd81-3aebf0b31e37,Redetermination Non-Eligibility Period,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
33,34,51573012-04dc-491f-b41a-0bb4b24efec9,ACO,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
34,35,51573012-04dc-491f-b41a-0bb4b24efec9,ACO,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
35,36,51573012-04dc-491f-b41a-0bb4b24efec9,ACO,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
36,42,ec46307f-ec7b-4e65-a15e-bb1c3d360114,Centennial Care,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
37,43,ec46307f-ec7b-4e65-a15e-bb1c3d360114,Centennial Care,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
