legacy_id,legacy_demo_id,demonstration_id,demonstration_name,othr_name,reason
1,1574,f935244b-2eac-4613-b7fa-d94d731015c5,Montana Waiver for Additional Services and Populations,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
6,1667,fbdc0ed1-78a9-40fb-a4ba-4d055f887373,MEDS-AD (expired),Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
8,1718,71e8bdde-35a5-43a0-9ebd-53cd29bb5aed,Minnesota Prepaid Medicaid Assistance Project Plus,Minnesota Prepaid Medicaid Assistance Project Plus,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
9,1786,83c3e37c-2043-4d84-ba05-c305d78b230b,Minnesota Reform,ADL Needs Program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
10,1818,ec46307f-ec7b-4e65-a15e-bb1c3d360114,Turquoise Care,Centennial Care,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
12,1883,be09c9ac-d9b9-4370-a268-d973ec0d16f5,Missouri Gateway To Better Health,Missouri Gateway to Better Health,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
15,1966,72ba07e4-1073-4c30-976b-4c6d836a7afa,AR-TEFRA-like,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
18,1970,31afe2bf-4951-4d57-99ba-6394eb5711ba,Wisconsin BadgerCare Reform,Badger Care,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
22,1974,b8de55ab-ee94-46c0-af13-e3762df85d10,Pennsylvania's Select Plan for Women,Family Planning Program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
32,2240,545f6ac9-8513-46a2-870d-6b0bd5125436,Flint Michigan 1115 Demonstration,Flint,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
35,2281,fb67f194-6495-46de-b313-f37e3f77892e,Wisconsin SeniorCare,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
38,1484,47d57b40-32df-4108-b2f4-9371b7251603,Alabama Medicaid Transformation,Alabama Medicaid Transformation,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
39,1840,7247c6cc-a4f8-422b-a0d4-eb7023de52c4,Diamond State Health Plan,Other - Behavioral Health,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
40,1619,0b11ca84-a492-41e1-9fb1-7c988da310ba,SoonerCare,SoonerCare,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
41,1457,51573012-04dc-491f-b41a-0bb4b24efec9,MassHealth,ACO,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
51,1943,c7c07fe5-ac27-4296-9440-13916aa30f3a,HealthChoice,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
52,1967,1ac4f92b-8b39-4081-ab13-f12d29995ba7,Maine HIV\AIDS Program,Maine HIV/AIDS Program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
59,1642,d40d1207-a663-40bd-8036-287fc06ea360,Rhode Island Global Consumer Choice Demonstration\Rhode Island Comprehensive Demonstration,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
61,1642,d40d1207-a663-40bd-8036-287fc06ea360,Rhode Island Global Consumer Choice Demonstration\Rhode Island Comprehensive Demonstration,The Managed Care component,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
