application_id,phase_id,unmet_kind,unmet_requirement,is_clearance_conditional
007cc95c-92ae-40cc-850e-50bb331b658d,Application Intake,date,Completeness Review Due Date,False
01202dd5-67e9-432f-a5ef-d9e4e49f8f76,Application Intake,date,Completeness Review Due Date,False
0181f074-ee92-420b-822d-aedfadcd4c7d,Application Intake,date,Completeness Review Due Date,False
01dca696-c094-4f14-ade8-c96f19292a92,Application Intake,date,Completeness Review Due Date,False
0473183d-2e93-4371-a841-47350d3e765b,Application Intake,date,Completeness Review Due Date,False
08ced498-8997-401c-a186-daa67a4ff809,Application Intake,date,Completeness Review Due Date,False
08fceebe-6835-408b-97de-b7f3b8522706,Application Intake,date,Completeness Review Due Date,False
0965889d-2796-4022-adc9-7ad6b2f7895e,Application Intake,date,Completeness Review Due Date,False
0977ad7f-a35c-4e4e-b50b-2f1834ad5014,Application Intake,date,Completeness Review Due Date,False
09f34d93-656c-4793-ad53-f06d53f03192,Application Intake,date,Completeness Review Due Date,False
0a7679ae-d047-49fb-9996-9c5c497a1ad5,Application Intake,date,Completeness Review Due Date,False
0aacc3ec-a6fc-41cb-84e3-3fd8ca5f4c25,Application Intake,date,Completeness Review Due Date,False
0ad53526-62cf-405b-aaaf-d62dfa2433b6,Application Intake,date,Completeness Review Due Date,False
0b11ca84-a492-41e1-9fb1-7c988da310ba,Application Intake,date,Completeness Review Due Date,False
0b49419b-eb17-4fb1-99e2-79f58fca2b75,Application Intake,date,Completeness Review Due Date,False
0b8752ca-48d3-4e08-8369-d92c9d1b0427,Application Intake,date,Completeness Review Due Date,False
0c74168d-4ed3-485b-aca4-d82cd5ca4fa5,Application Intake,date,Completeness Review Due Date,False
0cc17b4c-5437-425e-9700-c8e90f09aaf6,Application Intake,date,Completeness Review Due Date,False
0cdb6064-b473-4a2e-bdc2-d6dfded63446,Application Intake,date,Completeness Review Due Date,False
0fbdef7a-fb36-430d-ae8d-0d34882e1c74,Application Intake,date,Completeness Review Due Date,False
0fcfc81f-e55a-4374-ba2b-ec37081df6d3,Application Intake,date,Completeness Review Due Date,False
110f9760-16ff-4adf-8f29-1c0a24db5ca0,Application Intake,date,Completeness Review Due Date,False
11bbbe73-e085-4be3-84ec-70cfb3a2f31b,Application Intake,date,Completeness Review Due Date,False
123b47d8-b25f-448b-a762-b51d97c518dc,Application Intake,date,Completeness Review Due Date,False
13fbcf4d-aaac-4d6f-9c56-1c7de963b003,Application Intake,date,Completeness Review Due Date,False
