# Parity accepted-flags baseline -- Gate 12: dropped demonstration role assignments
# Each data row is an SME-reviewed, ACCEPTED dropped candidate (role the person_type
# may not hold, person not authorized for the demo's state, or an unloaded demo).
# Gate 12 goes GREEN only when the live flags are a subset of this file AND Status
# is SIGNED with a Reviewer and Date.
# Key columns: legacy_user_id, legacy_demonstration_id, role_id, person_type_id, reason.
# Status: UNSIGNED
# Reviewer:
# Date:
legacy_user_id,legacy_demonstration_id,role_id,person_type_id,reason
704,2583,Policy Technical Director,demos-cms-user,demonstration_not_loaded
704,2586,Policy Technical Director,demos-cms-user,demonstration_not_loaded
704,2587,Policy Technical Director,demos-cms-user,demonstration_not_loaded
784,2623,Project Officer,demos-cms-user,demonstration_not_loaded
785,2604,Policy Technical Director,demos-cms-user,demonstration_not_loaded
812,2547,Project Officer,demos-cms-user,demonstration_not_loaded
812,2580,Project Officer,demos-cms-user,demonstration_not_loaded
812,2588,Project Officer,demos-cms-user,demonstration_not_loaded
812,2613,Project Officer,demos-cms-user,demonstration_not_loaded
812,2620,Project Officer,demos-cms-user,demonstration_not_loaded
812,2628,Project Officer,demos-cms-user,demonstration_not_loaded
812,2629,Project Officer,demos-cms-user,demonstration_not_loaded
812,2633,Project Officer,demos-cms-user,demonstration_not_loaded
820,2547,Policy Technical Director,demos-cms-user,demonstration_not_loaded
820,2552,Monitoring & Evaluation Technical Director,demos-cms-user,demonstration_not_loaded
820,2559,Policy Technical Director,demos-cms-user,demonstration_not_loaded
820,2560,Project Officer,demos-cms-user,demonstration_not_loaded
820,2561,Project Officer,demos-cms-user,demonstration_not_loaded
820,2568,Project Officer,demos-cms-user,demonstration_not_loaded
820,2569,Project Officer,demos-cms-user,demonstration_not_loaded
820,2570,Project Officer,demos-cms-user,demonstration_not_loaded
820,2581,Project Officer,demos-cms-user,demonstration_not_loaded
820,2583,Project Officer,demos-cms-user,demonstration_not_loaded
820,2584,Project Officer,demos-cms-user,demonstration_not_loaded
820,2586,Project Officer,demos-cms-user,demonstration_not_loaded
820,2587,Project Officer,demos-cms-user,demonstration_not_loaded
820,2597,Project Officer,demos-cms-user,demonstration_not_loaded
820,2608,DDME Analyst,demos-cms-user,demonstration_not_loaded
820,2609,Project Officer,demos-cms-user,demonstration_not_loaded
820,2610,Project Officer,demos-cms-user,demonstration_not_loaded
820,2612,Project Officer,demos-cms-user,demonstration_not_loaded
820,2634,Project Officer,demos-cms-user,demonstration_not_loaded
821,2545,Project Officer,demos-cms-user,demonstration_not_loaded
821,2546,Project Officer,demos-cms-user,demonstration_not_loaded
821,2552,Project Officer,demos-cms-user,demonstration_not_loaded
9188,2604,Monitoring & Evaluation Technical Director,demos-cms-user,demonstration_not_loaded
9211,2547,State Point of Contact,demos-state-user,demonstration_not_loaded
9211,2547,State Point of Contact,demos-state-user,person_state_missing_for_state
9211,2552,State Point of Contact,demos-state-user,demonstration_not_loaded
9211,2552,State Point of Contact,demos-state-user,person_state_missing_for_state
9211,2559,State Point of Contact,demos-state-user,demonstration_not_loaded
9211,2559,State Point of Contact,demos-state-user,person_state_missing_for_state
9211,2608,State Point of Contact,demos-state-user,demonstration_not_loaded
9211,2608,State Point of Contact,demos-state-user,person_state_missing_for_state
9227,2549,Project Officer,demos-cms-user,demonstration_not_loaded
9227,2552,Policy Technical Director,demos-cms-user,demonstration_not_loaded
9227,2553,Project Officer,demos-cms-user,demonstration_not_loaded
9227,2576,Project Officer,demos-cms-user,demonstration_not_loaded
9258,2581,Policy Technical Director,demos-cms-user,demonstration_not_loaded
9281,2583,Project Officer,demos-cms-user,demonstration_not_loaded
9281,2586,Project Officer,demos-cms-user,demonstration_not_loaded
9291,1457,DDME Analyst,non-user-contact,person_type_not_permitted
9293,2581,Project Officer,demos-cms-user,demonstration_not_loaded
9301,1633,DDME Analyst,non-user-contact,person_state_missing_for_state
9301,1633,DDME Analyst,non-user-contact,person_type_not_permitted
9332,2544,Project Officer,demos-cms-user,demonstration_not_loaded
