source_table,tag_name,from_dt_col,to_dt_col,additional_attrs,notes
mdcd_mc_pgm_dtl,Managed Care,from_dt,to_dt,,
mdcd_hcbs_pgm_dtl,Home Community Based Services (HCBS),from_dt,to_dt,,
mdcd_dntl_pgm_dtl,Dental,from_dt,to_dt,,
mdcd_vsn_pgm_dtl,Vision,from_dt,to_dt,,
mdcd_hiv_pgm_dtl,HIV,from_dt,to_dt,,
mdcd_sud_pgm_dtl,Substance Use Disorder (SUD),from_dt,to_dt,,
mdcd_srus_mentl_ill_pgm_dtl,Serious Mental Illness (SMI),from_dt,to_dt,,
mdcd_ltss_pgm_dtl,Long-Term Services and Supports (LTSS),from_dt,to_dt,,
mdcd_fmly_plng_pgm_dtl,Reproductive Health: Family Planning,from_dt,to_dt,,
mdcd_prm_astnc_pgm_dtl,Premium Assistance/Employer-Sponsored Health Insurance (ESI)/Qualified Health Plan (QHP),from_dt,to_dt,,
mdcd_agg_cap_pgm_dtl,Aggregate Cap,from_dt,to_dt,,
mdcd_ahead_pgm_dtl,CMMI - AHEAD,from_dt,to_dt,,
mdcd_ann_lmts_pgm_dtl,Annual Limits,from_dt,to_dt,,
mdcd_apndx_k_pgm_dtl,PHE-Appendix K,from_dt,to_dt,,
mdcd_basic_hlth_plan_pgm_dtl,Basic Health Plan (BHP),from_dt,to_dt,,
mdcd_bene_enggmt_pgm_dtl,Beneficiary Engagement,from_dt,to_dt,,
mdcd_bhvrl_hlth_pgm_dtl,Behavioral Health,from_dt,to_dt,,
mdcd_bnfts_pgm_dtl,Benefits,from_dt,to_dt,,"SME-approved 2026-07-09; new User/Unapproved demo-type tag (created in 21_app_associative/05)"
mdcd_chip_pgm_dtl,Children's Health Insurance Program (CHIP),from_dt,to_dt,,
mdcd_cmnty_enggmt_pgm_dtl,Community Engagement,from_dt,to_dt,,
mdcd_cntgcy_mgmt_pgm_dtl,Contingency Management,from_dt,to_dt,,
mdcd_cntnus_elgblty_pgm_dtl,Continuous Eligibility,from_dt,to_dt,,
mdcd_covid_pgm_dtl,PHE-COVID-19,from_dt,to_dt,,
mdcd_dgns_and_dease_specf_pgm_dtl,Diagnosis/Disease Specific,from_dt,to_dt,,"SME-approved 2026-07-09; new User/Unapproved demo-type tag; all source rows soft-deleted"
mdcd_dsgntd_state_hlth_pgm_dtl,Designated State Health Programs (DSHP),from_dt,to_dt,,
mdcd_dsh_pgm_dtl,Disproportionate Share Hospital (DSH),from_dt,to_dt,,"SME-approved 2026-07-09; new User/Unapproved demo-type tag"
