source_table,tag_name,from_dt_col,to_dt_col,additional_attrs,notes
mdcd_pendg_mc_pgm_dtl,Managed Care,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_mc_pgm_dtl); same demo-type tag
mdcd_pendg_hcbs_pgm_dtl,Home Community Based Services (HCBS),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_hcbs_pgm_dtl); same demo-type tag
mdcd_pendg_dntl_pgm_dtl,Dental,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_dntl_pgm_dtl); same demo-type tag
mdcd_pendg_vsn_pgm_dtl,Vision,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_vsn_pgm_dtl); same demo-type tag
mdcd_pendg_hiv_pgm_dtl,HIV,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_hiv_pgm_dtl); same demo-type tag
mdcd_pendg_sud_pgm_dtl,Substance Use Disorder (SUD),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_sud_pgm_dtl); same demo-type tag
mdcd_pendg_srus_mentl_ill_pgm_dtl,Serious Mental Illness (SMI),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_srus_mentl_ill_pgm_dtl); same demo-type tag
mdcd_pendg_ltss_pgm_dtl,Long-Term Services and Supports (LTSS),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_ltss_pgm_dtl); same demo-type tag
mdcd_pendg_fmly_plng_pgm_dtl,Reproductive Health: Family Planning,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_fmly_plng_pgm_dtl); same demo-type tag
mdcd_pendg_prm_astnc_pgm_dtl,Premium Assistance/Employer-Sponsored Health Insurance (ESI)/Qualified Health Plan (QHP),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_prm_astnc_pgm_dtl); same demo-type tag
mdcd_pendg_agg_cap_pgm_dtl,Aggregate Cap,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_agg_cap_pgm_dtl); same demo-type tag
mdcd_pendg_ahead_pgm_dtl,CMMI - AHEAD,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_ahead_pgm_dtl); same demo-type tag
mdcd_pendg_ann_lmts_pgm_dtl,Annual Limits,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_ann_lmts_pgm_dtl); same demo-type tag
mdcd_pendg_apndx_k_pgm_dtl,PHE-Appendix K,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_apndx_k_pgm_dtl); same demo-type tag
mdcd_pendg_basic_hlth_plan_pgm_dtl,Basic Health Plan (BHP),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_basic_hlth_plan_pgm_dtl); same demo-type tag
mdcd_pendg_bene_enggmt_pgm_dtl,Beneficiary Engagement,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_bene_enggmt_pgm_dtl); same demo-type tag
mdcd_pendg_bhvrl_hlth_pgm_dtl,Behavioral Health,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_bhvrl_hlth_pgm_dtl); same demo-type tag
mdcd_pendg_bnfts_pgm_dtl,Benefits,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_bnfts_pgm_dtl); same demo-type tag
mdcd_pendg_chip_pgm_dtl,Children's Health Insurance Program (CHIP),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_chip_pgm_dtl); same demo-type tag
mdcd_pendg_cmnty_enggmt_pgm_dtl,Community Engagement,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_cmnty_enggmt_pgm_dtl); same demo-type tag
mdcd_pendg_cntgcy_mgmt_pgm_dtl,Contingency Management,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_cntgcy_mgmt_pgm_dtl); same demo-type tag
mdcd_pendg_cntnus_elgblty_pgm_dtl,Continuous Eligibility,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_cntnus_elgblty_pgm_dtl); same demo-type tag
mdcd_pendg_covid_pgm_dtl,PHE-COVID-19,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_covid_pgm_dtl); same demo-type tag
mdcd_pendg_dgns_and_dease_specf_pgm_dtl,Diagnosis/Disease Specific,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_dgns_and_dease_specf_pgm_dtl); same demo-type tag
mdcd_pendg_dsgntd_state_hlth_pgm_dtl,Designated State Health Programs (DSHP),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_dsgntd_state_hlth_pgm_dtl); same demo-type tag
mdcd_pendg_dsh_pgm_dtl,Disproportionate Share Hospital (DSH),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_dsh_pgm_dtl); same demo-type tag
mdcd_pendg_dsrip_pgm_dtl,Delivery System Reform Incentive Payment (DSRIP),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_dsrip_pgm_dtl); same demo-type tag
mdcd_pendg_elgblty_and_cvrg_pgm_dtl,Eligibility and Coverage,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_elgblty_and_cvrg_pgm_dtl); same demo-type tag
mdcd_pendg_emer_wvr_authrty_pgm_dtl,Emergency Waiver Authority,mdcd_emer_wvr_authrty_from_dt,mdcd_emer_wvr_authrty_to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_emer_wvr_authrty_pgm_dtl); same demo-type tag
mdcd_pendg_emplymt_sprt_pgm_dtl,Employment Supports,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_emplymt_sprt_pgm_dtl); same demo-type tag
mdcd_pendg_enrlmt_cap_pgm_dtl,Enrollment Cap,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_enrlmt_cap_pgm_dtl); same demo-type tag
mdcd_pendg_esrd_pgm_dtl,End-Stage Renal Disease (ESRD),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_esrd_pgm_dtl); same demo-type tag
mdcd_pendg_expndtr_cap_pgm_dtl,Expenditure Cap,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_expndtr_cap_pgm_dtl); same demo-type tag
mdcd_pendg_ffcy_pgm_dtl,Former Foster Care Youth (FFCY),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_ffcy_pgm_dtl); same demo-type tag
mdcd_pendg_frtlty_pgm_dtl,Reproductive Health: Fertility,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_frtlty_pgm_dtl); same demo-type tag
mdcd_pendg_glbl_pymt_pgm_dtl,Global Payment Program (GPP),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_glbl_pymt_pgm_dtl); same demo-type tag
mdcd_pendg_hlth_eqty_pgm_dtl,Health Equity,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_hlth_eqty_pgm_dtl); same demo-type tag
mdcd_pendg_hlth_rltd_scl_nds_pgm_dtl,Health-Related Social Needs (HRSN),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_hlth_rltd_scl_nds_pgm_dtl); same demo-type tag
