source_column,role_id,is_primary
proj_ofcr_user_id,Project Officer,true
bkup_proj_ofcr_user_id,Project Officer,false
ro_fincl_lead_user_id,Project Officer,false
tchncl_drctr_user_id,Policy Technical Director,true
mntrg_eval_tchncl_drctr_user_id,Monitoring & Evaluation Technical Director,true
ro_mntrg_lead_user_id,Monitoring & Evaluation Technical Director,false
anlyst_user_id,DDME Analyst,true
anlyst_scndry_user_id,DDME Analyst,false
mc_anlyst_id,DDME Analyst,false
hcbs_anlyst_id,DDME Analyst,false
state_prmry_poc_user_id,State Point of Contact,true
state_scndry_poc_user_id,State Point of Contact,false
state_3rd_poc_user_id,State Point of Contact,false
state_4th_poc_user_id,State Point of Contact,false
state_5th_poc_user_id,State Point of Contact,false
