_internal_reference_agreement_id,file_name,file_path
1,1115 THCP Specs Manual End User License Agreement v2.docx,reference/mrt_point_and_click_reference_only/THCP/2.00/
2,1115 SUD Specs Manual End User License Agreement v7.docx,reference/mrt_point_and_click_reference_only/SUD/7.00/
3,1115 SMI Specs Manual End User License Agreement v6.docx,reference/mrt_point_and_click_reference_only/SMI/6.00/
4,1115 FP Specs Manual End User License Agreement v2.docx,reference/mrt_point_and_click_reference_only/FP/2.00/
5,1115 Base Specs Manual End User License Agreement v2.docx,reference/mrt_point_and_click_reference_only/Base/2.00/
6,1115 Base Specs Manual End User License Agreement v1.docx,reference/mrt_point_and_click_reference_only/Base/1.00/
7,1115 SMI Specs Manual End User License Agreements v5.pdf,reference/mrt_point_and_click_reference_only/SMI/5.00/
8,1115 SUD Specs Manual End User License Agreement v6.docx,reference/mrt_point_and_click_reference_only/SUD/6.00/
9,1115 Family Planning Specs Manual End User License Agreement v1.pdf,reference/mrt_point_and_click_reference_only/FP/1.00/
10,1115 THCP Specs Manual End User License Agreement v1.pdf,reference/mrt_point_and_click_reference_only/THCP/1.00/
11,1115 SUD Specs Manual End User License Agreement v5.docx,reference/mrt_point_and_click_reference_only/SUD/5.00/
12,1115 EandC Specs Manual End User License Agreement_V4.docx,reference/mrt_point_and_click_reference_only/EandC/4.00/
13,1115 SMI Specs Manual End User License Agreements v4.docx,reference/mrt_point_and_click_reference_only/SMI/4.00/
14,1115 SMI Specs Manual End User License Agreements v3.docx,reference/mrt_point_and_click_reference_only/SMI/3.00/
15,1115 SUD Specs Manual End User License Agreement v4.docx,reference/mrt_point_and_click_reference_only/SUD/4.00/
16,1115 SMI Specs Manual End User License Agreements v2.docx,reference/mrt_point_and_click_reference_only/SMI/2.00/
17,1115 SUD Specs Manual End User License Agreements v3.docx,reference/mrt_point_and_click_reference_only/SUD/3.00/
18,1115 SUD Specs Manual End User License Agreements v2.docx,reference/mrt_point_and_click_reference_only/SUD/2.00/
19,1115 SUD Specs Manual End User License Agreement v1.1.docx,reference/mrt_point_and_click_reference_only/SUD/1.00/
20,1115 EandC Specs Manual End User License Agreements_V3.docx,reference/mrt_point_and_click_reference_only/EandC/3.00/
21,1115 EandC Specs Manual End User License Agreement_V2.docx,reference/mrt_point_and_click_reference_only/EandC/2.00/
22,1115 EandC Specs Manual End User License Agreement_final.docx,reference/mrt_point_and_click_reference_only/EandC/1.00/
23,1115 SMI Specs Manual End User License Agreements v1.docx,reference/mrt_point_and_click_reference_only/SMI/1.00/
